[INFO ] [044421.834.826]   Aligning...
[DEBUG] [044422.835.674]   0 <0 0 0> <0 0 0>
[DEBUG] [044422.855.665]   0 <0 0 0> <0 0 0>
[DEBUG] [044422.875.725]   20000 <5.7099e-09 3.43426e-09 0.00263894> <0.16 -0.000251595 0.000420238>
[DEBUG] [044422.895.673]   40000 <8.71238e-08 5.25281e-08 0.0102917> <0.28736 -0.00098037 0.00163972>
[DEBUG] [044422.915.621]   60000 <4.32453e-07 2.61303e-07 0.0229212> <0.420738 -0.00218117 0.00365462>
[DEBUG] [044422.935.620]   80000 <1.34946e-06 8.17117e-07 0.0404771> <0.552378 -0.00384844 0.00645924>
[DEBUG] [044422.955.618]   100000 <3.26168e-06 1.97913e-06 0.0629051> <0.683841 -0.00597634 0.010048>
[DEBUG] [044422.975.619]   120000 <6.70432e-06 4.07652e-06 0.0901475> <0.814814 -0.00855914 0.014415>
[DEBUG] [044422.995.618]   140000 <1.23199e-05 7.50653e-06 0.122143> <0.94536 -0.0115911 0.0195544>
[DEBUG] [044423.015.619]   160000 <2.08537e-05 1.27323e-05 0.158826> <1.07547 -0.0150665 0.0254601>
[DEBUG] [044423.035.619]   180000 <3.31489e-05 2.02808e-05 0.200128> <1.20515 -0.0189795 0.0321262>
[DEBUG] [044423.055.619]   200000 <5.01416e-05 3.07397e-05 0.245978> <1.3344 -0.0233245 0.0395464>
[DEBUG] [044423.075.617]   220000 <7.28557e-05 4.47556e-05 0.296301> <1.46321 -0.0280957 0.0477145>
[DEBUG] [044423.095.618]   240000 <0.000102398 6.30308e-05 0.351018> <1.5916 -0.0332874 0.056624>
[DEBUG] [044423.115.617]   260000 <0.00013995 8.63202e-05 0.410049> <1.71956 -0.0388939 0.0662684>
[DEBUG] [044423.135.617]   280000 <0.000186768 0.000115429 0.473309> <1.8471 -0.0449095 0.0766414>
[DEBUG] [044423.155.635]   300000 <0.000244172 0.000151208 0.54071> <1.97421 -0.0513286 0.0877361>
[DEBUG] [044423.175.617]   320000 <0.00031354 0.000194552 0.612165> <2.10091 -0.0581453 0.0995459>
