freq z1h z2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
100 0 0 0 0 1 0 0 0 0.3 0 1 0 0.5 0 1 0 0.5 0 0.1 0.65 500 41

time      z1             z2             dz             hdg    pitch  roll   cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
0.560     25             19             22.8           10     4      -3     0   0    150  0    0    -1.1        0           -4          3           47  39  33  41  000000000 
0.570     25             19             22.8           10     4      -3     0   0    150  0    0    -1          0           -4          3           47  39  33  41  000000000 
0.580     25             19             22.8           10     4      -3     0   0    150  0    0    -0.91       0           -4          3           47  39  33  41  000000000 
0.590     25             19             22.8           10     4      -3     0   0    150  0    0    -0.827      0           -4          3           47  39  33  41  000000000 
0.600     25             19             22.8           10     4      -3     0   0    150  0    0    -0.752      0           -4          3           47  39  33  41  000000000 
0.610     25             19             22.8           10     4      -3     0   0    150  0    0    -0.684      0           -4          3           47  39  33  41  000000000 
0.620     25             19             22.8           10     4      -3     0   0    150  0    0    -0.622      0           -4          3           47  39  33  41  000000000 
0.630     25             19             22.8           10     4      -3     0   0    150  0    0    -0.565      0           -4          3           47  39  33  41  000000000 
0.640     25             19             22.8           10     4      -3     0   0    150  0    0    -0.514      0           -4          3           47  39  33  41  000000000 
0.650     25             19             22.9           10     4      -3     0   0    150  0    0    -0.467      0           -4          3           47  39  33  41  000000000 
0.660     25             19             22.9           10     4      -3     0   0    150  0    0    -0.425      0           -4          3           47  39  33  41  000000000 
0.670     25             19             22.9           10     4      -3     0   0    150  0    0    -0.386      0           -4          3           47  39  33  41  000000000 
0.680     25             19             22.9           10     4      -3     0   0    150  0    0    -0.351      0           -4          3           47  39  33  41  000000000 
0.690     25             19             22.9           10     4      -3     0   0    150  0    0    -0.319      0           -4          3           47  39  33  41  000000000 
0.700     25             19             22.9           10     4      -3     0   0    150  0    0    -0.29       0           -4          3           47  39  33  41  000000000 
0.710     25             19             22.9           10     4      -3     0   0    150  0    0    -0.264      0           -4          3           47  39  33  41  000000000 
0.720     25             19             22.9           10     4      -3     0   0    150  0    0    -0.24       0           -4          3           47  39  33  41  000000000 
0.730     25             19             22.9           10     4      -3     0   0    150  0    0    -0.218      0           -4          3           47  39  33  41  000000000 
0.740     25             19             22.9           10     4      -3     0   0    150  0    0    -0.198      0           -4          3           47  39  33  41  000000000 
0.750     25             19             22.9           10     4      -3     0   0    150  0    0    -0.18       0           -4          3           47  39  33  41  000000000 
0.760     25             19             22.9           10     4      -3     0   0    150  0    0    -0.164      0           -4          3           47  39  33  41  000000000 
0.770     25             19             22.9           10     4      -3     0   0    150  0    0    -0.149      0           -4          3           48  40  34  42  000000000 
0.780     25             19             22.9           10     4      -3     0   0    150  0    0    -0.135      0           -4          3           48  40  34  42  000000000 
0.790     25             19             22.9           10     4      -3     0   0    150  0    0    -0.123      0           -4          3           48  40  34  42  000000000 
0.800     25             19             22.9           10     4      -3     0   0    150  0    0    -0.112      0           -4          3           48  40  34  42  000000000 
0.810     25             19             22.9           10     4      -3     0   0    150  0    0    -0.102      0           -4          3           48  40  34  42  000000000 
0.820     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0925     0           -4          3           48  40  34  42  000000000 
0.830     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0839     0           -4          3           48  40  34  42  000000000 
